00000001	e336@machizukuri.or.jp	伊藤 裕子	書類修正のお知らせ（R06-001）	2024-06-25T11:01:00+09:00	受信トレイ/交付金申請	C:\workspace\pub\folio\sample\mail\mail_0001\body.txt		C:\workspace\pub\folio\sample\mail\mail_0001\application.pdf	C:\workspace\pub\folio\sample\mail\mail_0001
00000002	i111@machizukuri.or.jp	伊藤 幸子	申請内容の変更について（R06-001）	2024-09-14T16:37:00+09:00	受信トレイ/交付金申請	C:\workspace\pub\folio\sample\mail\mail_0002\body.txt		C:\workspace\pub\folio\sample\mail\mail_0002\application.pdf	C:\workspace\pub\folio\sample\mail\mail_0002
00000003	f131@kenkou-center.or.jp	森 美咲	交付金に関するお問い合わせ（R06-002）	2024-08-11T15:48:00+09:00	受信トレイ/交付金申請	C:\workspace\pub\folio\sample\mail\mail_0003\body.txt		C:\workspace\pub\folio\sample\mail\mail_0003\application.pdf|C:\workspace\pub\folio\sample\mail\mail_0003\doc_1.pdf	C:\workspace\pub\folio\sample\mail\mail_0003
00000004	j915@machizukuri.or.jp	佐藤 和子	交付金に関するお問い合わせ（R06-003）	2024-05-06T08:16:00+09:00	受信トレイ/交付金申請	C:\workspace\pub\folio\sample\mail\mail_0004\body.txt		C:\workspace\pub\folio\sample\mail\mail_0004\application.pdf|C:\workspace\pub\folio\sample\mail\mail_0004\doc_1.pdf	C:\workspace\pub\folio\sample\mail\mail_0004
00000005	k446@kankyo-suishin.or.jp	岡田 陽一	交付金申請について（R06-004）	2024-07-18T14:02:00+09:00	受信トレイ/交付金申請	C:\workspace\pub\folio\sample\mail\mail_0005\body.txt		C:\workspace\pub\folio\sample\mail\mail_0005\application.pdf	C:\workspace\pub\folio\sample\mail\mail_0005
00000006	b837@green-energy-tohoku.co.jp	山田 千春	不足書類の送付（R06-004）	2024-07-18T09:40:00+09:00	受信トレイ/交付金申請	C:\workspace\pub\folio\sample\mail\mail_0006\body.txt		C:\workspace\pub\folio\sample\mail\mail_0006\application.pdf	C:\workspace\pub\folio\sample\mail\mail_0006
00000007	g630@kankyo-suishin.or.jp	林 健	書類修正のお知らせ（R06-004）	2024-05-10T14:29:00+09:00	受信トレイ/交付金申請	C:\workspace\pub\folio\sample\mail\mail_0007\body.txt		C:\workspace\pub\folio\sample\mail\mail_0007\application.pdf|C:\workspace\pub\folio\sample\mail\mail_0007\doc_1.pdf|C:\workspace\pub\folio\sample\mail\mail_0007\doc_2.pdf	C:\workspace\pub\folio\sample\mail\mail_0007
00000008	v140@sangyo-shinko.or.jp	松本 真由美	申請内容の変更について（R06-005）	2024-04-26T11:07:00+09:00	受信トレイ/交付金申請	C:\workspace\pub\folio\sample\mail\mail_0008\body.txt		C:\workspace\pub\folio\sample\mail\mail_0008\application.pdf|C:\workspace\pub\folio\sample\mail\mail_0008\doc_1.pdf	C:\workspace\pub\folio\sample\mail\mail_0008
00000009	o102@dentou-bunka.or.jp	岡田 光	交付金に関するお問い合わせ（R06-005）	2024-07-28T14:32:00+09:00	受信トレイ/交付金申請	C:\workspace\pub\folio\sample\mail\mail_0009\body.txt		C:\workspace\pub\folio\sample\mail\mail_0009\application.pdf	C:\workspace\pub\folio\sample\mail\mail_0009
00000010	z269@machizukuri.or.jp	林 由美	不足書類の送付（R06-005）	2024-09-11T17:47:00+09:00	受信トレイ/交付金申請	C:\workspace\pub\folio\sample\mail\mail_0010\body.txt		C:\workspace\pub\folio\sample\mail\mail_0010\application.pdf|C:\workspace\pub\folio\sample\mail\mail_0010\doc_1.pdf|C:\workspace\pub\folio\sample\mail\mail_0010\doc_2.pdf	C:\workspace\pub\folio\sample\mail\mail_0010
00000011	u746@kodomo-mirai.org	吉田 大輔	申請内容の変更について（R06-006）	2024-09-27T10:28:00+09:00	受信トレイ/交付金申請	C:\workspace\pub\folio\sample\mail\mail_0011\body.txt		C:\workspace\pub\folio\sample\mail\mail_0011\application.pdf	C:\workspace\pub\folio\sample\mail\mail_0011
00000012	o888@fukushi-net.or.jp	吉田 大輔	交付金申請書類の送付（R06-006）	2024-06-15T16:04:00+09:00	受信トレイ/交付金申請	C:\workspace\pub\folio\sample\mail\mail_0012\body.txt		C:\workspace\pub\folio\sample\mail\mail_0012\application.pdf|C:\workspace\pub\folio\sample\mail\mail_0012\doc_1.pdf	C:\workspace\pub\folio\sample\mail\mail_0012
00000013	p191@green-energy-tohoku.co.jp	林 直子	不足書類の送付（R06-006）	2024-09-05T17:01:00+09:00	受信トレイ/交付金申請	C:\workspace\pub\folio\sample\mail\mail_0013\body.txt		C:\workspace\pub\folio\sample\mail\mail_0013\application.pdf|C:\workspace\pub\folio\sample\mail\mail_0013\doc_1.pdf	C:\workspace\pub\folio\sample\mail\mail_0013
00000014	j157@sangyo-shinko.or.jp	坂本 太郎	交付金申請について（R06-007）	2024-06-29T10:49:00+09:00	受信トレイ/交付金申請	C:\workspace\pub\folio\sample\mail\mail_0014\body.txt		C:\workspace\pub\folio\sample\mail\mail_0014\application.pdf|C:\workspace\pub\folio\sample\mail\mail_0014\doc_1.pdf	C:\workspace\pub\folio\sample\mail\mail_0014
00000015	z813@fukushi-net.or.jp	森 健一	不足書類の送付（R06-008）	2024-04-02T12:32:00+09:00	受信トレイ/交付金申請	C:\workspace\pub\folio\sample\mail\mail_0015\body.txt		C:\workspace\pub\folio\sample\mail\mail_0015\application.pdf|C:\workspace\pub\folio\sample\mail\mail_0015\doc_1.pdf	C:\workspace\pub\folio\sample\mail\mail_0015
00000016	g464@kokusai-koryu.or.jp	高橋 美咲	不足書類の送付（R06-008）	2024-08-11T14:19:00+09:00	受信トレイ/交付金申請	C:\workspace\pub\folio\sample\mail\mail_0016\body.txt		C:\workspace\pub\folio\sample\mail\mail_0016\application.pdf	C:\workspace\pub\folio\sample\mail\mail_0016
00000017	n647@bousai-net.or.jp	伊藤 大輔	交付金申請書類の送付（R06-008）	2024-05-31T13:59:00+09:00	受信トレイ/交付金申請	C:\workspace\pub\folio\sample\mail\mail_0017\body.txt		C:\workspace\pub\folio\sample\mail\mail_0017\application.pdf	C:\workspace\pub\folio\sample\mail\mail_0017
00000018	m246@kodomo-mirai.org	上田 由美	交付金申請書類の送付（R06-009）	2024-07-10T17:51:00+09:00	受信トレイ/交付金申請	C:\workspace\pub\folio\sample\mail\mail_0018\body.txt		C:\workspace\pub\folio\sample\mail\mail_0018\application.pdf|C:\workspace\pub\folio\sample\mail\mail_0018\doc_1.pdf|C:\workspace\pub\folio\sample\mail\mail_0018\doc_2.pdf	C:\workspace\pub\folio\sample\mail\mail_0018
00000019	n870@kanko-suishin.jp	木村 亮	申請書類の提出（R06-009）	2024-07-03T08:19:00+09:00	受信トレイ/交付金申請	C:\workspace\pub\folio\sample\mail\mail_0019\body.txt		C:\workspace\pub\folio\sample\mail\mail_0019\application.pdf|C:\workspace\pub\folio\sample\mail\mail_0019\doc_1.pdf|C:\workspace\pub\folio\sample\mail\mail_0019\doc_2.pdf	C:\workspace\pub\folio\sample\mail\mail_0019
00000020	z319@dentou-bunka.or.jp	坂本 太郎	申請書類の提出（R06-009）	2024-04-30T17:58:00+09:00	受信トレイ/交付金申請	C:\workspace\pub\folio\sample\mail\mail_0020\body.txt		C:\workspace\pub\folio\sample\mail\mail_0020\application.pdf|C:\workspace\pub\folio\sample\mail\mail_0020\doc_1.pdf|C:\workspace\pub\folio\sample\mail\mail_0020\doc_2.pdf	C:\workspace\pub\folio\sample\mail\mail_0020
00000021	b704@machizukuri.or.jp	前田 綾	不足書類の送付（R06-010）	2024-07-09T14:21:00+09:00	受信トレイ/交付金申請	C:\workspace\pub\folio\sample\mail\mail_0021\body.txt		C:\workspace\pub\folio\sample\mail\mail_0021\application.pdf|C:\workspace\pub\folio\sample\mail\mail_0021\doc_1.pdf	C:\workspace\pub\folio\sample\mail\mail_0021
00000022	t579@digital-edu.net	前田 健	交付金申請書類の送付（R06-010）	2024-06-19T11:12:00+09:00	受信トレイ/交付金申請	C:\workspace\pub\folio\sample\mail\mail_0022\body.txt		C:\workspace\pub\folio\sample\mail\mail_0022\application.pdf|C:\workspace\pub\folio\sample\mail\mail_0022\doc_1.pdf|C:\workspace\pub\folio\sample\mail\mail_0022\doc_2.pdf	C:\workspace\pub\folio\sample\mail\mail_0022
00000023	i645@sports-kitakanto.or.jp	長谷川 龍也	交付金に関するお問い合わせ（R06-010）	2024-08-27T11:12:00+09:00	受信トレイ/交付金申請	C:\workspace\pub\folio\sample\mail\mail_0023\body.txt		C:\workspace\pub\folio\sample\mail\mail_0023\application.pdf|C:\workspace\pub\folio\sample\mail\mail_0023\doc_1.pdf	C:\workspace\pub\folio\sample\mail\mail_0023
00000024	c134@sports-kitakanto.or.jp	山田 翔太	書類修正のお知らせ（R06-011）	2024-08-18T16:49:00+09:00	受信トレイ/交付金申請	C:\workspace\pub\folio\sample\mail\mail_0024\body.txt		C:\workspace\pub\folio\sample\mail\mail_0024\application.pdf|C:\workspace\pub\folio\sample\mail\mail_0024\doc_1.pdf|C:\workspace\pub\folio\sample\mail\mail_0024\doc_2.pdf	C:\workspace\pub\folio\sample\mail\mail_0024
00000025	n108@hokuriku-shinko.or.jp	石井 修	交付金申請について（R06-012）	2024-04-26T08:09:00+09:00	受信トレイ/交付金申請	C:\workspace\pub\folio\sample\mail\mail_0025\body.txt		C:\workspace\pub\folio\sample\mail\mail_0025\application.pdf|C:\workspace\pub\folio\sample\mail\mail_0025\doc_1.pdf	C:\workspace\pub\folio\sample\mail\mail_0025
00000026	n916@bousai-net.or.jp	吉田 誠	書類修正のお知らせ（R06-012）	2024-08-15T11:21:00+09:00	受信トレイ/交付金申請	C:\workspace\pub\folio\sample\mail\mail_0026\body.txt		C:\workspace\pub\folio\sample\mail\mail_0026\application.pdf|C:\workspace\pub\folio\sample\mail\mail_0026\doc_1.pdf|C:\workspace\pub\folio\sample\mail\mail_0026\doc_2.pdf	C:\workspace\pub\folio\sample\mail\mail_0026
